time_stamp,load_gross_real_power_kW
2023-08-25 17:02:37.798602-07:00,23.676
2023-08-25 18:02:44.475542-07:00,13.878
2023-08-25 19:02:50.883896-07:00,15.319
2023-08-25 20:02:53.768453-07:00,9.0
2023-08-25 21:02:56.852875-07:00,9.0
2023-08-25 22:03:00.300386-07:00,9.0
2023-08-25 23:03:03.281052-07:00,8.0
2023-08-26 00:00:56.180145-07:00,8.0
2023-08-26 01:01:01.090647-07:00,14.0
2023-08-26 02:01:07.148077-07:00,8.0
2023-08-26 03:01:15.378621-07:00,8.0
2023-08-26 04:01:19.627547-07:00,8.0
2023-08-26 05:01:22.780173-07:00,8.0
2023-08-26 06:01:29.075216-07:00,8.0
2023-08-26 07:01:34.002889-07:00,7.207
2023-08-26 08:01:38.556374-07:00,7.596
2023-08-26 09:01:43.081272-07:00,15.691
2023-08-26 10:01:48.478993-07:00,10.854
2023-08-26 11:01:52.958489-07:00,14.288
2023-08-26 12:01:58.054354-07:00,16.367
2023-08-26 13:02:02.541136-07:00,15.822
2023-08-26 14:02:07.764294-07:00,23.455
2023-08-26 15:02:15.353538-07:00,21.526
2023-08-26 16:02:04.152736-07:00,11.712
2023-08-26 17:02:11.104662-07:00,12.747
2023-08-26 18:02:16.137767-07:00,16.65
2023-08-26 19:02:22.994359-07:00,19.244
2023-08-26 20:02:28.035060-07:00,10.0
2023-08-26 21:02:32.190887-07:00,16.0
2023-08-26 22:02:37.352602-07:00,8.0
2023-08-26 23:02:41.678972-07:00,20.0
2023-08-27 00:00:56.447939-07:00,8.0
2023-08-27 01:01:00.971419-07:00,8.0
2023-08-27 02:01:07.253897-07:00,11.0
2023-08-27 03:01:11.066198-07:00,13.0
2023-08-27 04:01:16.014405-07:00,9.0
2023-08-27 05:01:22.956027-07:00,9.0
2023-08-27 06:01:27.416347-07:00,17.0
2023-08-27 07:01:34.859757-07:00,16.156
2023-08-27 08:01:38.684747-07:00,14.662
2023-08-27 09:01:43.587094-07:00,12.517
2023-08-27 10:01:46.654867-07:00,20.398
2023-08-27 11:01:50.095493-07:00,22.199
2023-08-27 12:01:53.235609-07:00,16.47
2023-08-27 13:01:55.880913-07:00,21.681
2023-08-27 14:02:07.764294-07:00,23.455
2023-08-27 15:02:15.353538-07:00,21.526
2023-08-27 16:02:04.152736-07:00,11.712
2023-08-27 17:02:11.104662-07:00,12.747
2023-08-27 18:02:16.137767-07:00,16.65
2023-08-27 19:02:22.994359-07:00,19.244
2023-08-27 20:04:48.160624-07:00,17.0
2023-08-27 21:04:51.841661-07:00,8.0
